,states,percent_act_part_2018,act_composite_2018,sat_participation_2018,sat_reading_2018,sat_math_2018,sat_total_2018
0,alabama,100.0,19.1,6.0,595.0,571.0,1166.0
1,alaska,33.0,20.8,43.0,562.0,544.0,1106.0
2,arizona,66.0,19.2,29.0,577.0,572.0,1149.0
3,arkansas,100.0,19.4,5.0,592.0,576.0,1169.0
4,california,27.0,22.7,60.0,540.0,536.0,1076.0
5,colorado,30.0,23.9,100.0,519.0,506.0,1025.0
6,connecticut,26.0,25.6,100.0,535.0,519.0,1053.0
7,delaware,17.0,23.8,100.0,505.0,492.0,998.0
8,district of columbia,32.0,23.6,92.0,497.0,480.0,977.0
9,florida,66.0,19.9,56.0,550.0,549.0,1099.0
10,georgia,53.0,21.4,70.0,542.0,522.0,1064.0
11,hawaii,89.0,18.9,56.0,480.0,530.0,1010.0
12,idaho,36.0,22.3,100.0,508.0,493.0,1001.0
13,illinois,43.0,23.9,99.0,513.0,506.0,1019.0
14,indiana,32.0,22.5,63.0,542.0,532.0,1074.0
15,iowa,68.0,21.8,3.0,634.0,631.0,1265.0
16,kansas,71.0,21.6,4.0,633.0,631.0,1265.0
17,kentucky,100.0,20.2,4.0,630.0,618.0,1248.0
18,louisiana,100.0,19.2,4.0,615.0,595.0,1210.0
19,maine,7.0,24.0,99.0,512.0,501.0,1013.0
20,maryland,31.0,22.5,76.0,545.0,535.0,1080.0
21,massachusetts,25.0,25.5,80.0,562.0,563.0,1125.0
22,michigan,22.0,24.2,100.0,511.0,499.0,1011.0
23,minnesota,99.0,21.3,4.0,643.0,655.0,1298.0
24,mississippi,100.0,18.6,3.0,630.0,606.0,1236.0
25,missouri,100.0,20.0,4.0,633.0,629.0,1262.0
26,montana,100.0,20.0,10.0,606.0,592.0,1198.0
27,nebraska,100.0,20.1,3.0,629.0,623.0,1252.0
28,nevada,100.0,17.7,23.0,574.0,566.0,1140.0
29,new hampshire,16.0,25.1,96.0,535.0,528.0,1063.0
30,new jersey,31.0,23.7,82.0,547.0,547.0,1094.0
31,new mexico,67.0,19.4,16.0,552.0,540.0,1093.0
32,new york,27.0,24.5,79.0,534.0,534.0,1068.0
33,north carolina,100.0,19.1,52.0,554.0,543.0,1098.0
34,north dakota,98.0,20.3,2.0,640.0,643.0,1283.0
35,ohio,100.0,20.3,18.0,552.0,547.0,1099.0
36,oklahoma,100.0,19.3,8.0,541.0,521.0,1062.0
37,oregon,42.0,21.3,48.0,564.0,553.0,1117.0
38,pennsylvania,20.0,23.5,70.0,547.0,539.0,1086.0
39,rhode island,15.0,24.2,97.0,513.0,505.0,1018.0
40,south carolina,100.0,18.3,55.0,547.0,523.0,1070.0
41,south dakota,77.0,21.9,3.0,622.0,618.0,1240.0
42,tennessee,100.0,19.6,6.0,624.0,607.0,1231.0
43,texas,45.0,20.7,66.0,520.0,512.0,1032.0
44,utah,100.0,20.4,4.0,480.0,530.0,1010.0
45,vermont,24.0,24.1,64.0,565.0,554.0,1120.0
46,virginia,24.0,23.9,68.0,567.0,550.0,1117.0
47,washington,24.0,22.2,69.0,543.0,538.0,1081.0
48,west virginia,65.0,20.3,28.0,513.0,486.0,999.0
49,wisconsin,100.0,20.5,3.0,641.0,653.0,1294.0
50,wyoming,100.0,20.0,3.0,633.0,625.0,1257.0
